shipment_id,supplier,product,distance_km,order_quantity,supplier_reliability,historical_delay_rate,lead_time_days,inventory_level,supplier_capacity,shipping_cost,weather_risk,demand_forecast,delay
SHP00001,Supplier_C,Batteries,805,972,0.77,0.33,14,1208,5552,3109.13,0.27,660,1
SHP00002,Supplier_D,Sensors,1120,601,0.93,0.05,5,287,4501,10443.46,0.56,2301,0
SHP00003,Supplier_A,Processors,2163,242,0.87,0.13,16,1545,3077,5077.64,0.39,1638,1
SHP00004,Supplier_C,Batteries,1546,1712,0.77,0.18,7,1099,9526,17613.17,0.17,2967,1
SHP00005,Supplier_C,Microchips,3764,338,0.84,0.24,2,236,5755,3879.2,0.07,2531,1
SHP00006,Supplier_D,Sensors,3087,632,0.82,0.18,10,1955,3615,892.39,0.56,903,1
SHP00007,Supplier_A,Processors,3702,1722,0.95,0.32,13,679,6356,9227.49,0.1,780,0
SHP00008,Supplier_A,Microchips,3785,1217,0.71,0.22,26,1782,5172,19730.18,0.72,278,1
SHP00009,Supplier_C,Microchips,3468,1462,0.96,0.03,24,864,1932,12860.51,0.92,714,1
SHP00010,Supplier_B,Microchips,3681,1939,0.89,0.06,12,663,1635,7403.58,0.16,1854,0
SHP00011,Supplier_C,Microchips,2862,1965,0.91,0.27,14,2989,7683,828.93,0.47,146,1
SHP00012,Supplier_C,Batteries,4137,1480,0.7,0.26,2,1236,6773,9956.49,0.74,2705,1
SHP00013,Supplier_C,Batteries,672,1884,0.88,0.07,20,2275,4229,4526.09,0.29,2330,0
SHP00014,Supplier_C,Batteries,4188,1443,0.87,0.04,29,1034,2190,13131.2,0.92,2501,1
SHP00015,Supplier_D,Processors,714,906,0.86,0.21,22,2377,6508,11868.67,0.89,2634,0
SHP00016,Supplier_A,Processors,4150,1514,0.93,0.23,5,847,1011,5671.67,0.1,315,1
SHP00017,Supplier_D,Processors,425,830,0.86,0.06,6,1127,9060,1843.21,0.03,1546,0
SHP00018,Supplier_D,Displays,3840,945,0.95,0.18,24,116,1448,15222.87,0.98,1769,1
SHP00019,Supplier_D,Processors,458,969,0.77,0.12,26,593,8661,11916.55,0.96,2999,1
SHP00020,Supplier_C,Batteries,3877,1724,0.93,0.33,18,1836,3496,16921.46,0.42,2976,1
SHP00021,Supplier_B,Batteries,2471,613,0.75,0.09,6,569,6885,5566.1,0.05,1108,1
SHP00022,Supplier_A,Displays,1821,1602,0.94,0.26,20,2596,1426,13230.81,0.62,1336,0
SHP00023,Supplier_B,Displays,1449,1750,0.97,0.19,4,995,8099,2814.27,0.29,1107,0
SHP00024,Supplier_D,Processors,3796,62,0.8,0.02,12,1504,4169,6190.29,0.94,833,0
SHP00025,Supplier_D,Sensors,3996,1775,0.85,0.19,3,2824,1446,13302.51,0.79,2468,1
SHP00026,Supplier_B,Displays,4360,1036,0.89,0.05,23,1108,3250,16598.84,0.65,2238,0
SHP00027,Supplier_B,Microchips,1696,389,0.72,0.24,15,2286,8111,6758.05,0.28,414,1
